Market,Make,VehicleAge,median_make_price_index,listing_count
US,Jaguar,2,1.3638485555791324,115
US,Jaguar,3,1.6337567067810481,65
US,Jaguar,4,1.4645487889902695,58
US,Jaguar,5,1.180302525084119,116
US,Jaguar,6,0.7970232501743005,58
US,Jaguar,7,0.7576768013580284,28
US,Jaguar,8,0.6816817727121162,39
US,Jaguar,9,0.499348267604353,18
US,Jaguar,10,0.4243687289702628,20
US,Jaguar,11,0.45454545454545453,11
US,Jaguar,12,0.51494437539786,28
US,Jaguar,13,0.20576555821637516,7
US,Jaguar,14,0.2087968716845009,17
US,Jaguar,15,0.18184849495286307,10
US,Jaguar,16,0.1802722119494377,8
US,Jaguar,17,0.1492164054684895,10
US,Jaguar,18,0.2773651823335051,6
US,Jaguar,19,0.20597775015914396,9
US,Jaguar,20,0.21067628603473884,5
US,Jaguar,21,0.3029797811391676,3
US,Jaguar,22,0.14391160689926946,2
Pakistan,Jeep,1,0.7878787878787878,9
Pakistan,Jeep,4,8.954545454545455,2
Pakistan,Jeep,6,1.9696969696969697,1
Pakistan,Jeep,8,19.696969696969695,1
Pakistan,Jeep,9,9.090909090909092,1
Pakistan,Jeep,12,2.727272727272727,3
Pakistan,Jeep,13,0.9696969696969697,1
Pakistan,Jeep,16,0.7272727272727273,3
Pakistan,Jeep,18,0.9545454545454546,2
Pakistan,Jeep,19,0.9696969696969697,8
Pakistan,Jeep,20,0.8787878787878788,2
Pakistan,Jeep,21,0.8333333333333333,4
Pakistan,Jeep,22,1.0,10
Pakistan,Jeep,23,0.9545454545454546,6
Pakistan,Jeep,24,1.378787878787879,2
Pakistan,Jeep,25,1.0909090909090908,5
Pakistan,Jeep,26,1.1484848484848484,4
Pakistan,Jeep,27,1.5666666666666667,6
Pakistan,Jeep,28,0.9393939393939393,2
Pakistan,Jeep,29,1.4575757575757575,3
Pakistan,Jeep,30,0.8333333333333334,1
Pakistan,Jeep,31,0.5757575757575758,1
Pakistan,Jeep,33,1.2121212121212122,1
Pakistan,Jeep,34,1.5757575757575757,1
US,Jeep,1,1.2527980187645853,2
US,Jeep,2,1.1323046149449922,1443
US,Jeep,3,0.9139400866790494,2315
US,Jeep,4,1.2973520026670475,2454
US,Jeep,5,1.1423298566461875,2302
US,Jeep,6,1.1882649902367004,615
